# index, id, name, city, country, IATA/FAA, ICAO, latitude, longitude, altitude, timezone, DST, _pos
184,302,Brussels Airport,Brussels,Belgium,BRU,EBBR,50.901401519800004,4.48443984985,184,1.0,E,"array([5.9758642 , 1.17316594])"
185,304,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,EBCI,50.459202,4.45382,614,1.0,E,"array([5.95204898, 1.14172846])"
186,309,Liège Airport,Liege,Belgium,LGG,EBLG,50.63740158081055,5.443220138549805,659,1.0,E,"array([5.8968272, 1.1294346])"
187,310,Ostend-Bruges International Airport,Ostend,Belgium,OST,EBOS,51.198898315399994,2.8622200489,13,1.0,E,"array([5.8074241 , 1.07256437])"
188,337,Berlin-Schönefeld Airport,Berlin,Germany,SXF,EDDB,52.380001,13.5225,157,1.0,E,"array([5.9644644 , 1.16646055])"
189,338,Dresden Airport,Dresden,Germany,DRS,EDDC,51.1328010559082,13.767200469970703,755,1.0,E,"array([6.00890755, 1.15777455])"
190,339,Erfurt Airport,Erfurt,Germany,ERF,EDDE,50.979801177978516,10.958100318908691,1036,1.0,E,"array([5.96819467, 1.09659482])"
191,340,Frankfurt am Main Airport,Frankfurt,Germany,FRA,EDDF,50.033333,8.570556,364,1.0,E,"array([6.00868388, 1.1716065 ])"
192,341,Münster Osnabrück Airport,Munster,Germany,FMO,EDDG,52.134601593,7.68483018875,160,1.0,E,"array([6.01089892, 1.13937249])"
193,342,Hamburg Airport,Hamburg,Germany,HAM,EDDH,53.630401611328,9.9882297515869,53,1.0,E,"array([5.98201177, 1.17211677])"
194,344,Cologne Bonn Airport,Cologne,Germany,CGN,EDDK,50.8658981323,7.1427397728,302,1.0,E,"array([5.97108767, 1.17277723])"
195,345,Düsseldorf Airport,Duesseldorf,Germany,DUS,EDDL,51.289501,6.76678,147,1.0,E,"array([5.99348899, 1.1624974 ])"
196,346,Munich Airport,Munich,Germany,MUC,EDDM,48.353802,11.7861,1487,1.0,E,"array([5.99816546, 1.17377971])"
197,347,Nuremberg Airport,Nuernberg,Germany,NUE,EDDN,49.498699,11.078056,1046,1.0,E,"array([5.98171314, 1.18764747])"
198,348,Leipzig/Halle Airport,Leipzig,Germany,LEJ,EDDP,51.423889,12.236389,465,1.0,E,"array([5.9908812, 1.1765787])"
199,349,Saarbrücken Airport,Saarbruecken,Germany,SCN,EDDR,49.214599609400004,7.10950994492,1058,1.0,E,"array([6.02625304, 1.17300506])"
200,350,Stuttgart Airport,Stuttgart,Germany,STR,EDDS,48.689899444599995,9.22196006775,1276,1.0,E,"array([5.987548  , 1.16261626])"
201,351,Berlin-Tegel Airport,Berlin,Germany,TXL,EDDT,52.5597,13.2877,122,1.0,E,"array([5.98677518, 1.17122427])"
202,352,Hannover Airport,Hannover,Germany,HAJ,EDDV,52.461101532,9.685079574580001,183,1.0,E,"array([5.98370014, 1.16717392])"
203,353,Bremen Airport,Bremen,Germany,BRE,EDDW,53.0475006104,8.78666973114,14,1.0,E,"array([5.95962923, 1.16640668])"
204,355,Frankfurt-Hahn Airport,Hahn,Germany,HHN,EDFH,49.9487,7.26389,1649,1.0,E,"array([5.9430994 , 1.13515902])"
205,356,Mannheim-City Airport,Mannheim,Germany,MHG,EDFM,49.473057,8.514167,308,1.0,E,"array([5.86238132, 1.11416084])"
206,362,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,EDHI,53.5352783203125,9.835556030273438,23,1.0,E,"array([5.83530576, 1.09761876])"
207,364,Lübeck Blankensee Airport,Luebeck,Germany,LBC,EDHL,53.8054008484,10.7192001343,53,1.0,E,"array([5.88288213, 1.13678578])"
208,371,Paderborn Lippstadt Airport,Paderborn,Germany,PAD,EDLP,51.614101409899995,8.616319656369999,699,1.0,E,"array([5.92269786, 1.15296157])"
209,373,Dortmund Airport,Dortmund,Germany,DTM,EDLW,51.51829910279999,7.61223983765,425,1.0,E,"array([5.94174106, 1.17131187])"
210,374,Augsburg Airport,Augsburg,Germany,AGB,EDMA,48.425278,10.931667,1516,1.0,E,"array([5.82781225, 1.10727793])"
211,382,Friedrichshafen Airport,Friedrichshafen,Germany,FDH,EDNY,47.671298980699994,9.51148986816,1367,1.0,E,"array([6.00511537, 1.19353882])"
212,393,Zweibrücken Airport,Zweibruecken,Germany,ZQW,EDRZ,49.2094,7.40056,1132,1.0,E,"array([5.91623603, 1.17806487])"
213,400,Kassel-Calden Airport,Kassel,Germany,KSF,EDVK,51.417273,9.384967,820,1.0,E,"array([5.86931979, 1.14657778])"
214,410,Westerland Sylt Airport,Westerland,Germany,GWT,EDXW,54.9132003784,8.34047031403,51,1.0,E,"array([6.03767802, 1.1748377 ])"
215,413,Kuressaare Airport,Kuressaare,Estonia,URE,EEKE,58.22990036010742,22.50950050354004,14,2.0,E,"array([5.79426561, 1.19679166])"
216,415,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL,EETN,59.41329956049999,24.832799911499997,131,2.0,E,"array([5.92744512, 1.18468261])"
217,416,Tartu Airport,Tartu,Estonia,TAY,EETU,58.3074989319,26.690399169900004,219,2.0,E,"array([5.87781761, 1.21441569])"
218,421,Helsinki Vantaa Airport,Helsinki,Finland,HEL,EFHK,60.317199707031,24.963300704956,179,2.0,E,"array([5.9736393 , 1.19965233])"
219,428,Ivalo Airport,Ivalo,Finland,IVL,EFIV,68.607299804688,27.405300140381,481,2.0,E,"array([5.80573835, 1.26785585])"
220,429,Joensuu Airport,Joensuu,Finland,JOE,EFJO,62.662899017334,29.607500076294,398,2.0,E,"array([5.84770667, 1.24432001])"
221,430,Jyvaskyla Airport,Jyvaskyla,Finland,JYV,EFJY,62.399501800537,25.678300857544,459,2.0,E,"array([5.89980862, 1.25777795])"
222,432,Kemi-Tornio Airport,Kemi,Finland,KEM,EFKE,65.778701782227,24.582099914551,61,2.0,E,"array([5.89201593, 1.25191935])"
223,433,Kajaani Airport,Kajaani,Finland,KAJ,EFKI,64.285499572754,27.692399978638,483,2.0,E,"array([5.87707806, 1.23252381])"
224,435,Kokkola-Pietarsaari Airport,Kruunupyy,Finland,KOK,EFKK,63.721199035645,23.143100738525,84,2.0,E,"array([5.88447801, 1.21276719])"
225,437,Kuusamo Airport,Kuusamo,Finland,KAO,EFKS,65.987602233887,29.239400863647,866,2.0,E,"array([6.0615374 , 1.18355773])"
226,438,Kittilä Airport,Kittila,Finland,KTT,EFKT,67.700996398926,24.846799850464,644,2.0,E,"array([5.8440836 , 1.25334219])"
227,439,Kuopio Airport,Kuopio,Finland,KUO,EFKU,63.007099151611,27.797800064087,323,2.0,E,"array([5.84560646, 1.26335222])"
228,441,Lappeenranta Airport,Lappeenranta,Finland,LPP,EFLP,61.044601,28.144743,349,2.0,E,"array([5.86995603, 1.09621457])"
229,442,Mariehamn Airport,Mariehamn,Finland,MHQ,EFMA,60.122200012207,19.898199081421,17,2.0,E,"array([5.89259913, 1.2161456 ])"
230,446,Oulu Airport,Oulu,Finland,OUL,EFOU,64.930099487305,25.354600906372,47,2.0,E,"array([5.89373233, 1.20741854])"
231,448,Pori Airport,Pori,Finland,POR,EFPO,61.461700439453,21.799999237061,44,2.0,E,"array([5.86908054, 1.20773094])"
