# source, target, width, color
234,31,9.968685150146484,"#9b9b9b
"
234,28,9.584153175354004,"#989898
"
234,32,9.3008394241333,"#969696
"
235,30,13.973861694335938,"#b4b4b4
"
235,27,12.302176475524902,"#aaaaaa
"
235,233,7.451638221740723,"#878787
"
235,578,7.032571315765381,"#838383
"
235,234,7.02804708480835,"#828282
"
235,232,6.80380916595459,"#808080
"
235,47,6.370321273803711,"#7b7b7b
"
235,241,5.508152008056641,"#717171
"
235,238,10.780917167663574,"#a0a0a0
"
235,32,11.131213188171387,"#a2a2a2
"
235,33,9.277023315429688,"#969696
"
235,28,9.677928924560547,"#999999
"
235,34,11.942949295043945,"#a8a8a8
"
235,31,11.157014846801758,"#a3a3a3
"
235,35,11.7117338180542,"#a6a6a6
"
235,236,7.651274681091309,"#8a8a8a
"
235,240,8.926230430603027,"#949494
"
236,31,13.1372652053833,"#afafaf
"
236,240,5.924956798553467,"#767676
"
236,704,6.493609428405762,"#7c7c7c
"
236,30,6.875633239746094,"#818181
"
236,160,6.8934478759765625,"#818181
"
236,234,7.800577640533447,"#8b8b8b
"
236,578,7.839034557342529,"#8c8c8c
"
236,238,7.919058799743652,"#8d8d8d
"
236,35,8.020718574523926,"#8e8e8e
"
236,27,8.89199447631836,"#949494
"
236,232,8.388381004333496,"#909090
"
236,34,10.11158275604248,"#9c9c9c
"
236,28,9.974639892578125,"#9b9b9b
"
236,47,9.624838829040527,"#989898
"
236,241,9.298358917236328,"#969696
"
236,32,11.65467357635498,"#a6a6a6
"
236,233,10.671263694763184,"#9f9f9f
"
236,33,10.518939018249512,"#9e9e9e
"
237,238,16.59284782409668,"#c3c3c3
"
237,234,8.173539161682129,"#8f8f8f
"
237,232,8.682610511779785,"#929292
"
237,27,7.850062847137451,"#8c8c8c
"
237,29,7.885408878326416,"#8c8c8c
"
237,35,7.5327935218811035,"#888888
"
237,47,7.567008972167969,"#898989
"
237,241,6.29680061340332,"#7a7a7a
"
237,240,7.19346809387207,"#848484
"
237,235,14.336695671081543,"#b6b6b6
"
237,239,12.933802604675293,"#aeaeae
"
237,578,9.39163875579834,"#979797
"
237,233,9.35641098022461,"#979797
"
237,32,9.995478630065918,"#9b9b9b
"
237,28,9.920061111450195,"#9a9a9a
"
237,31,12.42919635772705,"#ababab
"
237,34,11.664597511291504,"#a6a6a6
"
237,236,12.732357025146484,"#adadad
"
237,30,9.232864379882812,"#969696
"
237,33,9.212024688720703,"#969696
"
238,47,8.281208038330078,"#909090
"
238,31,8.462310791015625,"#919191
"
238,33,7.952991485595703,"#8d8d8d
"
238,578,8.055450439453125,"#8e8e8e
"
238,234,6.912959098815918,"#818181
"
238,30,7.639680862426758,"#8a8a8a
"
238,35,6.088115692138672,"#787878
"
238,27,6.5498809814453125,"#7d7d7d
"
238,285,5.369594097137451,"#6f6f6f
"
238,240,5.405223369598389,"#707070
"
238,34,16.33112144470215,"#c2c2c2
"
238,28,8.692037582397461,"#929292
"
238,32,10.041126251220703,"#9b9b9b
"
238,232,10.564586639404297,"#9f9f9f
"
238,233,11.024041175842285,"#a2a2a2
"
239,235,12.618237495422363,"#acacac
"
239,241,5.705526351928711,"#737373
"
239,240,6.0550312995910645,"#777777
"
239,578,7.066504001617432,"#838383
"
239,33,7.212696552276611,"#858585
"
239,35,6.654506206512451,"#7e7e7e
"
239,27,6.947740077972412,"#828282
"
239,234,9.531063079833984,"#989898
"
239,31,8.449906349182129,"#919191
"
239,238,11.646239280700684,"#a6a6a6
"
239,32,10.080324172973633,"#9b9b9b
"
239,29,8.066863059997559,"#8e8e8e
"
239,28,7.622997283935547,"#898989
"
239,34,8.291131973266602,"#909090
"
239,232,8.256896018981934,"#8f8f8f
"
239,233,7.545800685882568,"#888888
"
239,30,7.430995941162109,"#878787
"
240,578,6.57335090637207,"#7d7d7d
"
241,30,7.675310134887695,"#8a8a8a
"
241,578,6.558081150054932,"#7d7d7d
"
241,28,8.28914737701416,"#909090
"
241,160,7.933480262756348,"#8d8d8d
"
241,33,9.235344886779785,"#969696
"
