# index, pid, community, size, pos, leamer, name, color, _pos
113,5241,0,67.72988891601562,"array([-458.01902771, 2348.11645508])",10,FISSILE CHEMICAL ELEMENTS AND ISOTOPES,"#c93c00
","array([-7.00253856, -5.9744519 ])"
114,3330,0,209.04736328125,"array([4198.26538086, 6539.51074219])",1,PETROL.OILS & CRUDE OILS OBT.FROM BITUMIN.MINERALS,"#ad2b2b
","array([-7.91920719, -6.82529788])"
115,3351,0,58.03857421875,"array([2446.35058594, 3333.32470703])",1,PETROLEUM JELLY AND MINERAL WAXES,"#730049
","array([-7.78515757, -6.6231492 ])"
116,5629,0,74.06396484375,"array([5710.99926758, 2486.625     ])",10,"FERTILIZERS,N.E.S.","#b54e61
","array([-7.66537879, -7.32475542])"
117,5982,0,61.02978515625,"array([-1093.34594727,  5560.42285156])",10,"ANTI-KNOCK PREPARATIONS,OXIDATION INHIBITORS ETC.","#9c219c
","array([-7.63590592, -6.23107055])"
118,6832,0,58.85015869140625,"array([ 159.73184204, 4261.66894531])",2,NICKEL AND NICKEL ALLOYS.WORKED,"#4037ab
","array([-7.45041551, -6.32161061])"
119,7161,0,68.0286865234375,"array([ 477.82165527, 4855.81982422])",9,"MOTORS & GENERATORS,DIRECT CURRENT","#4037ab
","array([-7.39751584, -6.40675274])"
120,6115,0,57.890625,"array([4400.11523438, 2568.21972656])",8,SHEEP AND LAMB SKIN LEATHER,"#21366b
","array([-7.74682172, -7.07758309])"
121,7149,0,120.3905029296875,"array([-1543.37042236,  4257.21948242])",9,PARTS OF THE ENGINES & MOTORS OF 714-AND 718.8-,"#0576a6
","array([-7.75704114, -6.16001333])"
122,7421,0,58.323028564453125,"array([-346.28309631, 3955.88500977])",9,"RECIPROCATING PUMPS,OTHER THAN 742.81","#ff6bb0
","array([-7.42817588, -6.34638766])"
123,7523,0,141.53515625,"array([-1367.62768555,  3581.84375   ])",9,COMPLETE DIGITAL CENTRAL PROCESSING UNITS,"#ff6bb0
","array([-7.31177345, -5.66951477])"
124,5541,0,59.34228515625,"array([3932.74169922, 2978.75390625])",10,SOAP;ORGANIC SURFACE-ACTIVE PRODUCTS & PREPARATNS,"#4b0046
","array([-7.64459981, -6.96166035])"
125,619,0,58.40625,"array([ 610.09423828, 3464.53515625])",4,OTHER SUGARS;SUGAR SYRUPS;ARTIFICIAL HONEY;CARAMEL,"#6e451e
","array([-7.64494602, -6.39906096])"
126,751,0,58.33056640625,"array([5391.9987793 , 2493.15209961])",4,PEPPER; PIMENTO,"#78b83d
","array([-8.04208565, -7.12840871])"
127,711,0,96.3994140625,"array([5253.64990234, 2518.30639648])",4,"COFFEE,WHETHER OR NOT ROASTED OR FREED OF CAFFEINE","#78b83d
","array([-7.99911778, -7.12044109])"
128,2483,0,84.5390625,"array([3629.02319336, 3516.67163086])",3,"WOOD OF NON-CONIFEROUS SPECIES,SAWN,PLANED,TONGUE","#473b1c
","array([-7.68455739, -6.76781444])"
129,2479,0,13.63623046875,"array([3624.55541992, 3214.16088867])",3,"PITPROPS,POLES,PILING,POSTS & OTHER WOOD IN ROUGH","#473b1c
","array([-7.73215776, -6.78402577])"
130,5543,0,56.6015625,"array([2563.51782227, 3556.49438477])",10,"POLISHES & CREAMS,FOR FOOTWEAR,FURNITURE OR FLOOR","#730049
","array([-7.73949304, -6.61477275])"
131,114,0,74.1640625,"array([1526.18249512, 5687.95849609])",5,"POULTRY,DEAD & EDIBLE OFFALS EX.LIVER,FRESH/FROZEN","#9fb3bf
","array([-7.62002033, -6.41732859])"
132,6342,0,79.901123046875,"array([3571.59313965, 5494.89648438])",3,PLYWOOD CONSISTING OF SHEETS OF WOOD,"#473b1c
","array([-7.83422345, -6.8399073 ])"
133,6841,0,120.345703125,"array([3678.75878906, 5833.33032227])",2,"ALUMINIUM AND ALUMINIUM ALLOYS,UNWROUGHT","#ffc86c
","array([-7.87269262, -6.81301225])"
134,2331,0,72.7740478515625,"array([-1093.75775146,  4862.82714844])",4,SYNTH.RUBB.LAT.;SYNTH.RUBB.FACTICE DERIV.FROM OILS,"#9c219c
","array([-7.62109705, -6.08222895])"
135,344,0,71.23291015625,"array([5472.2956543 , 2590.32836914])",5,"FISH FILLETS,FROZEN","#8c94d1
","array([-7.63169595, -7.30342449])"
136,5163,0,57.132049560546875,"array([-400.90550232, 4873.32324219])",10,"INORGANIC ESTERS,THEIR SALTS,& THEIR DERIVATIVES","#9c219c
","array([-7.52115328, -6.20564173])"
137,5335,0,61.6796875,"array([2716.24536133, 3976.20214844])",10,"COLOUR.PREPTNS OF A KIND USED IN CERAMIC,ENAMELLI.","#730049
","array([-7.57290128, -6.60122165])"
138,430,0,59.7080078125,"array([2788.86083984, 5550.22070312])",6,"BARLEY,UNMILLED","#6c8806
","array([-7.88242232, -6.47465877])"
139,579,0,87.6376953125,"array([4484.35839844, 3548.56567383])",4,"FRUIT,FRESH OR DRIED, N.E.S.","#ff0062
","array([-7.63381343, -6.93964382])"
140,6551,0,13.63623046875,"array([5233.45288086, 6028.00756836])",8,KNITTED/CROCH.FAB.NOT ELAST.NOR RUBBERIZ.OF SYNT.F,"#c4af78
","array([-7.05311833, -7.2009706 ])"
141,5839,0,114.9718017578125,"array([-1084.55926514,  4542.90429688])",10,OTHER POLYMERIZATION AND COPOLIMERIZATION PRODUCTS,"#9c219c
","array([-7.53911346, -6.0919493 ])"
142,5122,0,56.083251953125,"array([-640.90008545, 4631.39746094])",10,CYCLIC.ALCOHOLS & THEIR HALOGENATED DERIVATIVES,"#9c219c
","array([-7.54339239, -6.16243009])"
143,2671,0,59.3812255859375,"array([-1291.11260986,  4819.43261719])",6,REGENERATED FIBRES SUITABLE FOR SPINNING,"#9c219c
","array([-7.5764264 , -6.13456914])"
144,251,0,57.1806640625,"array([3557.02954102, 3775.41040039])",5,EGGS IN SHELL,"#9fb3bf
","array([-7.63894963, -6.72169424])"
145,6417,0,59.571044921875,"array([3812.86437988, 4230.95019531])",3,"PAPER& PAPERBOARD,CORRUGATED,CREPEDCRINKLED ETC","#473b1c
","array([-7.58328   , -6.76913956])"
146,5156,0,116.6292724609375,"array([-977.94598389, 4394.39038086])",10,HETEROCYCLIC COMPOUNDS;NUCLEIC ACIDS,"#9c219c
","array([-7.66433042, -6.21374527])"
147,6571,0,55.987060546875,"array([2083.7154541 , 5169.99291992])",8,"FELT & ARTICL.OF FELT,NES,WHETHER/NOT IMPREGNATED","#730049
","array([-7.44608069, -6.53268443])"
148,6785,0,67.759765625,"array([1219.37158203, 4125.58239746])",8,"TUBE & PIPE FITTINGS(JOINTS,ELBOWS)OF IRON/STEEL","#4037ab
","array([-7.49707564, -6.47046926])"
149,6116,0,57.91259765625,"array([4336.91088867, 2454.06958008])",8,LEATHER OF OTHER HIDES OR SKINS,"#21366b
","array([-7.78099936, -7.14969495])"
